epoch,accuracy,loss,val_accuracy,val_loss
0,0.9633732,0.326871857047081,0.9549590945243835,0.2689037322998047
1,0.95665246,0.13844071682542564,0.9689544439315796,0.0782390832901001
0,0.96386033,0.10478606042452157,0.9549590945243835,0.18177530169487
1,0.95665246,0.10334319602698087,0.9689544439315796,0.06651106476783752
0,0.96386033,0.09451436288654805,0.9549590945243835,0.15192480385303497
1,0.95665246,0.09840777162462473,0.9689544439315796,0.05162852257490158
0,0.954401,0.2641675017774105,0.9586639404296875,0.09098648279905319
1,0.9610901,0.1280296090990305,0.9661300778388977,0.228242889046669
0,0.95920295,0.12487997971475125,0.9586639404296875,0.06434847414493561
1,0.9610901,0.11479008691385388,0.9661331176757812,0.17750588059425354
0,0.95920295,0.13092146944254637,0.9586639404296875,0.04985078424215317
1,0.9610874,0.10985738588497043,0.9661300778388977,0.09839798510074615
